zip,city,state,type
00970,Guaynabo,PR,PO BOX
00971,Guaynabo,PR,STANDARD
00975,San Juan,PR,UNIQUE
00976,Trujillo Alto,PR,STANDARD
00977,Trujillo Alto,PR,PO BOX
00978,Saint Just,PR,PO BOX
00979,Carolina,PR,STANDARD
00981,Carolina,PR,PO BOX
00982,Carolina,PR,STANDARD
00983,Carolina,PR,STANDARD
00984,Carolina,PR,PO BOX
00985,Carolina,PR,STANDARD
00986,Carolina,PR,PO BOX
00987,Carolina,PR,STANDARD
00988,Carolina,PR,PO BOX
01001,Agawam,MA,STANDARD
01002,Amherst,MA,STANDARD
01003,Amherst,MA,STANDARD
01004,Amherst,MA,PO BOX
01005,Barre,MA,STANDARD
01007,Belchertown,MA,STANDARD
01008,Blandford,MA,STANDARD
01009,Bondsville,MA,PO BOX
01010,Brimfield,MA,STANDARD
01011,Chester,MA,STANDARD
01012,Chesterfield,MA,STANDARD
01013,Chicopee,MA,STANDARD
01014,Chicopee,MA,PO BOX
01020,Chicopee,MA,STANDARD
01021,Chicopee,MA,PO BOX
01022,Chicopee,MA,STANDARD
01026,Cummington,MA,STANDARD
01027,Easthampton,MA,STANDARD
01028,East Longmeadow,MA,STANDARD
01029,East Otis,MA,PO BOX
01030,Feeding Hills,MA,STANDARD
01031,Gilbertville,MA,STANDARD
01032,Goshen,MA,STANDARD
01033,Granby,MA,STANDARD
01034,Granville,MA,STANDARD
01035,Hadley,MA,STANDARD
01036,Hampden,MA,STANDARD
01037,Hardwick,MA,PO BOX
01038,Hatfield,MA,STANDARD
01039,Haydenville,MA,STANDARD
01040,Holyoke,MA,STANDARD
01041,Holyoke,MA,PO BOX
01050,Huntington,MA,STANDARD
01053,Leeds,MA,STANDARD
01054,Leverett,MA,STANDARD
01056,Ludlow,MA,STANDARD
01057,Monson,MA,STANDARD
01059,North Amherst,MA,PO BOX
01060,Northampton,MA,STANDARD
01061,Northampton,MA,PO BOX
01062,Florence,MA,STANDARD
01063,Northampton,MA,UNIQUE
01066,North Hatfield,MA,PO BOX
01068,Oakham,MA,STANDARD
01069,Palmer,MA,STANDARD
01070,Plainfield,MA,STANDARD
01071,Russell,MA,STANDARD
01072,Shutesbury,MA,STANDARD
01073,Southampton,MA,STANDARD
01074,South Barre,MA,PO BOX
01075,South Hadley,MA,STANDARD
01077,Southwick,MA,STANDARD
01079,Thorndike,MA,PO BOX
01080,Three Rivers,MA,STANDARD
01081,Wales,MA,STANDARD
01082,Ware,MA,STANDARD
01083,Warren,MA,PO BOX
01084,West Chesterfield,MA,STANDARD
01085,Westfield,MA,STANDARD
01086,Westfield,MA,PO BOX
